Date,Close/Last,Volume,Open,High,Low
08/23/2018,$219.30,2900816,$224.27,$224.97,$218.93
08/22/2018,$223.03,1733470,$223.20,$226.17,$222.151
08/21/2018,$223.13,2278755,$225.77,$226.279,$222.42
08/20/2018,$223.71,3224782,$224.70,$226.37,$220.97
08/17/2018,$222.67,5495422,$221.00,$225.069,$217.0886
08/16/2018,$217.30,4334911,$216.12,$221.40,$215.4866
08/15/2018,$213.47,4259618,$211.37,$214.15,$207.95
08/14/2018,$216.21,3193416,$218.33,$218.37,$213.67
08/13/2018,$217.57,2500360,$220.01,$220.175,$216.405
08/10/2018,$220.10,3350954,$217.50,$221.91,$216.51
08/09/2018,$219.89,3509814,$223.36,$223.72,$219.60
08/08/2018,$222.00,5159775,$226.99,$226.99,$221.28
08/07/2018,$226.67,7888399,$228.362,$230.25,$224.26
08/06/2018,$232.96,3698953,$234.11,$235.80,$230.06
08/03/2018,$235.65,5832522,$235.00,$237.50,$230.84
08/02/2018,$230.46,6593328,$230.56,$231.50,$226.21
08/01/2018,$228.07,13983840,$234.99,$237.72,$226.6388
07/31/2018,$247.18,4258715,$253.84,$255.94,$245.53
07/30/2018,$251.40,2549052,$256.49,$257.31,$248.30
07/27/2018,$255.09,2310206,$262.63,$262.96,$251.8279
07/26/2018,$260.35,2059399,$259.82,$263.6323,$257.68
07/25/2018,$262.91,2639315,$256.41,$263.70,$256.41
07/24/2018,$256.48,2748471,$265.31,$265.73,$255.10
07/23/2018,$260.38,1702555,$257.89,$261.095,$257.18
07/20/2018,$259.98,2213180,$263.36,$265.21,$259.96
07/19/2018,$262.42,2376513,$266.73,$267.30,$261.93
07/18/2018,$269.42,2036585,$268.90,$270.09,$264.50
07/17/2018,$270.02,2674017,$264.10,$271.08,$259.10
07/16/2018,$267.08,1510246,$266.45,$269.74,$266.00
07/13/2018,$267.19,2532581,$271.36,$274.00,$265.701
07/12/2018,$271.45,3964270,$264.23,$272.15,$263.695
07/11/2018,$261.25,2651356,$256.49,$263.96,$255.75
07/10/2018,$261.25,1921888,$262.99,$264.83,$258.85
07/09/2018,$261.97,4230159,$259.276,$262.90,$258.60
07/06/2018,$251.77,3916964,$244.75,$253.50,$243.8756
07/05/2018,$244.07,2964179,$248.99,$250.69,$243.44
07/03/2018,$246.43,2298829,$248.71,$249.06,$245.30
